mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__epsilon,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.013357937335968018,0.002622513668567193,0.004785299301147461,0.00026089753045419414,10,0.01,auto,"{'model__C': 10, 'model__epsilon': 0.01, 'model__gamma': 'auto'}",-72.6978525232095,-55.289456211210336,-81.40813303554057,-48.414151783083106,-64.45239838826089,13.197247012435685,40
0.013023436069488525,0.002571553540858065,0.004460513591766357,0.0001364242250288015,10,0.05,auto,"{'model__C': 10, 'model__epsilon': 0.05, 'model__gamma': 'auto'}",-72.70733097898545,-55.28080768826129,-81.41635354618694,-48.41858292050873,-64.45576878348561,13.20152411335074,41
0.013281404972076416,0.0025192372627851657,0.004922330379486084,0.0003696196001814483,10,0.2,scale,"{'model__C': 10, 'model__epsilon': 0.2, 'model__gamma': 'scale'}",-72.84116078384086,-55.573706523625894,-81.44317662622488,-47.978728620291385,-64.45919313849576,13.31606792410857,42
0.013008594512939453,0.0025861546103052,0.0045792460441589355,0.00021704455841996771,10,0.1,auto,"{'model__C': 10, 'model__epsilon': 0.1, 'model__gamma': 'auto'}",-72.71933930706305,-55.27644302752643,-81.42349782665941,-48.419870488655235,-64.45978766247603,13.20606316745558,43
0.013313055038452148,0.002824289687387029,0.004686474800109863,0.0005293366721315604,10,0.2,auto,"{'model__C': 10, 'model__epsilon': 0.2, 'model__gamma': 'auto'}",-72.74334221933303,-55.28941190922504,-81.43741043485893,-48.426554909950006,-64.47417986834175,13.210000629332773,44
0.014178037643432617,0.0026256175991717133,0.0046041011810302734,0.00013057199783614458,10,0.01,0.1,"{'model__C': 10, 'model__epsilon': 0.01, 'model__gamma': 0.1}",-73.00258146329904,-55.8715634701598,-81.66366592976365,-47.89353210893687,-64.60783574303984,13.389020672411498,45
0.01338416337966919,0.0028043080723478653,0.004590392112731934,0.00014423333874915846,10,0.05,0.1,"{'model__C': 10, 'model__epsilon': 0.05, 'model__gamma': 0.1}",-72.99408229950099,-55.886068991192055,-81.6872667260781,-47.893550880485556,-64.61524222431417,13.392837715795267,46
0.013279497623443604,0.002916844381564823,0.004607021808624268,0.0002715242407775764,10,0.1,0.1,"{'model__C': 10, 'model__epsilon': 0.1, 'model__gamma': 0.1}",-72.98344236706994,-55.903984104070915,-81.71748576958964,-47.89906243625179,-64.62599366924557,13.396172310413814,47
0.0141410231590271,0.003292418172191519,0.004536628723144531,0.0001161029938979649,10,0.2,0.1,"{'model__C': 10, 'model__epsilon': 0.2, 'model__gamma': 0.1}",-72.9570049043726,-55.94009880192828,-81.76281373020383,-47.910345095766296,-64.64256563306775,13.39713521951319,48
0.012777745723724365,0.002384799493095287,0.0045621395111083984,0.00010212945853398571,100,0.01,0.001,"{'model__C': 100, 'model__epsilon': 0.01, 'model__gamma': 0.001}",-79.68880170185454,-65.24964345635189,-92.24515005616976,-58.842440859144624,-74.0065090183802,12.957315835613748,49
0.01328897476196289,0.0020345553765096836,0.004873692989349365,0.00021328746558825444,100,0.05,0.001,"{'model__C': 100, 'model__epsilon': 0.05, 'model__gamma': 0.001}",-79.69537834280537,-65.24260850465586,-92.28284647590765,-58.833130516737185,-74.01349096002652,12.975215965739743,50
0.012869775295257568,0.0023922141764596266,0.0046051740646362305,9.107223036509501e-05,100,0.1,0.001,"{'model__C': 100, 'model__epsilon': 0.1, 'model__gamma': 0.001}",-79.70523869705754,-65.23377462312865,-92.32188635346321,-58.814677072800045,-74.01889418661236,12.99692829036847,51
0.013720452785491943,0.002917929246448938,0.0047272443771362305,0.00013455793112937694,100,0.2,0.001,"{'model__C': 100, 'model__epsilon': 0.2, 'model__gamma': 0.001}",-79.73821141702044,-65.21645093967321,-92.37218216574148,-58.78487382133445,-74.02792958594239,13.029887051298743,52
0.013570427894592285,0.0021120476023642437,0.004788815975189209,0.000128426350849701,10,0.2,0.01,"{'model__C': 10, 'model__epsilon': 0.2, 'model__gamma': 0.01}",-81.16914823557171,-65.32068081871407,-93.41176300277058,-58.814364888303174,-74.67898923633989,13.530550792219339,53
0.012401998043060303,0.00228216018282821,0.004440188407897949,0.0001330782053178314,10,0.1,0.01,"{'model__C': 10, 'model__epsilon': 0.1, 'model__gamma': 0.01}",-81.22393611399076,-65.33303762543461,-93.3368988709814,-58.83072149372388,-74.68114852603266,13.504335460053364,54
0.012685060501098633,0.0022476450919937277,0.00440746545791626,0.00010073902666042284,10,0.05,0.01,"{'model__C': 10, 'model__epsilon': 0.05, 'model__gamma': 0.01}",-81.25667631100504,-65.33934050782764,-93.3051161875663,-58.83298298625881,-74.68352899816445,13.495586708877083,55
0.013013184070587158,0.0025398735672803,0.004726529121398926,0.0001991823139429336,10,0.01,0.01,"{'model__C': 10, 'model__epsilon': 0.01, 'model__gamma': 0.01}",-81.29183631017462,-65.34428474251457,-93.3054345981896,-58.828029508844864,-74.69239628993091,13.500584492099454,56
0.01442861557006836,0.002897094869013529,0.005601227283477783,0.0008705957558333141,1,0.2,auto,"{'model__C': 1, 'model__epsilon': 0.2, 'model__gamma': 'auto'}",-125.02929304799525,-105.12102810462531,-124.01950115103841,-91.20843971861326,-111.34456550556806,14.07232870757608,57
0.01695871353149414,0.0027734591907786657,0.006486415863037109,0.0004053879062936697,1,0.01,auto,"{'model__C': 1, 'model__epsilon': 0.01, 'model__gamma': 'auto'}",-124.97537511488412,-105.12997645316881,-124.04136744949032,-91.25976425420386,-111.35162081793678,14.04482030408259,58
0.014568746089935303,0.0022716447609212693,0.005056798458099365,0.00030285346415678913,1,0.05,auto,"{'model__C': 1, 'model__epsilon': 0.05, 'model__gamma': 'auto'}",-124.98672228606969,-105.12577075507306,-124.03676043822217,-91.2592217246663,-111.3521188010078,14.047192500362684,59
